Repository,Tag Name,Release Name,Published At (ISO),Published Date,Published Time,Author,Is Prerelease,Year,Month,Quarter,Month Name,Week Number,Day of Week (0=Sun),Day Name,Hour (0-23),Time Slot,Is Weekend,Season Quarter,Version Type,Release Type,Is Major Version,Is Patch Version,Is Hotfix,Days Since Epoch
daangn/stackflow,@stackflow/plugin-basic-ui@1.4.1,@stackflow/plugin-basic-ui@1.4.1,2023-12-01T04:16:25.000Z,2023-12-01,04:16:25,github-actions[bot],false,2023,12,4,December,48,5,Friday,13,lunch_time,false,Q4_Winter,semantic,stable,false,true,false,19692
daangn/stackflow,@stackflow/core@1.0.9,@stackflow/core@1.0.9,2023-12-22T13:48:37.000Z,2023-12-22,13:48:37,github-actions[bot],false,2023,12,4,December,51,5,Friday,22,night,false,Q4_Winter,semantic,stable,false,true,false,19713
daangn/stackflow,@stackflow/compat-await-push@1.1.6,@stackflow/compat-await-push@1.1.6,2023-12-22T13:48:40.000Z,2023-12-22,13:48:40,github-actions[bot],false,2023,12,4,December,51,5,Friday,22,night,false,Q4_Winter,semantic,stable,false,true,false,19713
daangn/stackflow,@stackflow/plugin-basic-ui@1.4.2,@stackflow/plugin-basic-ui@1.4.2,2023-12-22T13:48:43.000Z,2023-12-22,13:48:43,github-actions[bot],false,2023,12,4,December,51,5,Friday,22,night,false,Q4_Winter,semantic,stable,false,true,false,19713
daangn/stackflow,@stackflow/link@1.3.15,@stackflow/link@1.3.15,2023-12-22T13:48:46.000Z,2023-12-22,13:48:46,github-actions[bot],false,2023,12,4,December,51,5,Friday,22,night,false,Q4_Winter,semantic,stable,false,true,false,19713
daangn/stackflow,@stackflow/plugin-devtools@0.1.7,@stackflow/plugin-devtools@0.1.7,2023-12-22T13:48:49.000Z,2023-12-22,13:48:49,github-actions[bot],false,2023,12,4,December,51,5,Friday,22,night,false,Q4_Winter,semantic,stable,false,true,false,19713
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.8,@stackflow/plugin-google-analytics-4@1.1.8,2023-12-22T13:48:52.000Z,2023-12-22,13:48:52,github-actions[bot],false,2023,12,4,December,51,5,Friday,22,night,false,Q4_Winter,semantic,stable,false,true,false,19713
daangn/stackflow,@stackflow/plugin-history-sync@1.3.14,@stackflow/plugin-history-sync@1.3.14,2023-12-22T13:48:55.000Z,2023-12-22,13:48:55,github-actions[bot],false,2023,12,4,December,51,5,Friday,22,night,false,Q4_Winter,semantic,stable,false,true,false,19713
daangn/stackflow,@stackflow/plugin-preload@1.2.14,@stackflow/plugin-preload@1.2.14,2023-12-22T13:48:58.000Z,2023-12-22,13:48:58,github-actions[bot],false,2023,12,4,December,51,5,Friday,22,night,false,Q4_Winter,semantic,stable,false,true,false,19713
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.6,@stackflow/plugin-renderer-basic@1.1.6,2023-12-22T13:49:01.000Z,2023-12-22,13:49:01,github-actions[bot],false,2023,12,4,December,51,5,Friday,22,night,false,Q4_Winter,semantic,stable,false,true,false,19713
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.6,@stackflow/plugin-renderer-web@1.1.6,2023-12-22T13:49:04.000Z,2023-12-22,13:49:04,github-actions[bot],false,2023,12,4,December,51,5,Friday,22,night,false,Q4_Winter,semantic,stable,false,true,false,19713
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.4,@stackflow/plugin-map-initial-activity@1.0.4,2023-12-22T13:49:07.000Z,2023-12-22,13:49:07,github-actions[bot],false,2023,12,4,December,51,5,Friday,22,night,false,Q4_Winter,semantic,stable,false,true,false,19713
daangn/stackflow,@stackflow/plugin-stack-depth-change@1.1.0,@stackflow/plugin-stack-depth-change@1.1.0,2023-12-22T13:49:10.000Z,2023-12-22,13:49:10,github-actions[bot],false,2023,12,4,December,51,5,Friday,22,night,false,Q4_Winter,semantic,stable,false,false,false,19713
daangn/stackflow,@stackflow/react@1.1.6,@stackflow/react@1.1.6,2023-12-22T13:49:13.000Z,2023-12-22,13:49:13,github-actions[bot],false,2023,12,4,December,51,5,Friday,22,night,false,Q4_Winter,semantic,stable,false,true,false,19713
daangn/stackflow,@stackflow/esbuild-config@1.0.1,@stackflow/esbuild-config@1.0.1,2023-12-22T13:49:16.000Z,2023-12-22,13:49:16,github-actions[bot],false,2023,12,4,December,51,5,Friday,22,night,false,Q4_Winter,semantic,stable,false,true,false,19713
daangn/stackflow,@stackflow/eslint-config@1.0.2,@stackflow/eslint-config@1.0.2,2023-12-22T13:49:19.000Z,2023-12-22,13:49:19,github-actions[bot],false,2023,12,4,December,51,5,Friday,22,night,false,Q4_Winter,semantic,stable,false,true,false,19713
daangn/stackflow,@stackflow/plugin-basic-ui@1.5.0,@stackflow/plugin-basic-ui@1.5.0,2023-12-23T14:08:05.000Z,2023-12-23,14:08:05,github-actions[bot],false,2023,12,4,December,51,6,Saturday,23,night,true,Q4_Winter,semantic,stable,false,false,false,19714
daangn/stackflow,@stackflow/plugin-basic-ui@1.5.1,@stackflow/plugin-basic-ui@1.5.1,2024-01-16T09:26:15.000Z,2024-01-16,09:26:15,github-actions[bot],false,2024,1,1,January,3,2,Tuesday,18,evening,false,Q1_Winter,semantic,stable,false,true,false,19738
