Repository,Tag Name,Release Name,Published At,Author,Is Prerelease,Year,Month,Week Number,Day of Week
daangn/stackflow,@stackflow/plugin-basic-ui@1.4.1,@stackflow/plugin-basic-ui@1.4.1,2023-12-01T04:16:25.000Z,github-actions[bot],false,2023,12,48,5
daangn/stackflow,@stackflow/core@1.0.9,@stackflow/core@1.0.9,2023-12-22T13:48:37.000Z,github-actions[bot],false,2023,12,51,5
daangn/stackflow,@stackflow/compat-await-push@1.1.6,@stackflow/compat-await-push@1.1.6,2023-12-22T13:48:40.000Z,github-actions[bot],false,2023,12,51,5
daangn/stackflow,@stackflow/plugin-basic-ui@1.4.2,@stackflow/plugin-basic-ui@1.4.2,2023-12-22T13:48:43.000Z,github-actions[bot],false,2023,12,51,5
daangn/stackflow,@stackflow/link@1.3.15,@stackflow/link@1.3.15,2023-12-22T13:48:46.000Z,github-actions[bot],false,2023,12,51,5
daangn/stackflow,@stackflow/plugin-devtools@0.1.7,@stackflow/plugin-devtools@0.1.7,2023-12-22T13:48:49.000Z,github-actions[bot],false,2023,12,51,5
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.8,@stackflow/plugin-google-analytics-4@1.1.8,2023-12-22T13:48:52.000Z,github-actions[bot],false,2023,12,51,5
daangn/stackflow,@stackflow/plugin-history-sync@1.3.14,@stackflow/plugin-history-sync@1.3.14,2023-12-22T13:48:55.000Z,github-actions[bot],false,2023,12,51,5
daangn/stackflow,@stackflow/plugin-preload@1.2.14,@stackflow/plugin-preload@1.2.14,2023-12-22T13:48:58.000Z,github-actions[bot],false,2023,12,51,5
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.6,@stackflow/plugin-renderer-basic@1.1.6,2023-12-22T13:49:01.000Z,github-actions[bot],false,2023,12,51,5
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.6,@stackflow/plugin-renderer-web@1.1.6,2023-12-22T13:49:04.000Z,github-actions[bot],false,2023,12,51,5
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.4,@stackflow/plugin-map-initial-activity@1.0.4,2023-12-22T13:49:07.000Z,github-actions[bot],false,2023,12,51,5
daangn/stackflow,@stackflow/plugin-stack-depth-change@1.1.0,@stackflow/plugin-stack-depth-change@1.1.0,2023-12-22T13:49:10.000Z,github-actions[bot],false,2023,12,51,5
daangn/stackflow,@stackflow/react@1.1.6,@stackflow/react@1.1.6,2023-12-22T13:49:13.000Z,github-actions[bot],false,2023,12,51,5
daangn/stackflow,@stackflow/esbuild-config@1.0.1,@stackflow/esbuild-config@1.0.1,2023-12-22T13:49:16.000Z,github-actions[bot],false,2023,12,51,5
daangn/stackflow,@stackflow/eslint-config@1.0.2,@stackflow/eslint-config@1.0.2,2023-12-22T13:49:19.000Z,github-actions[bot],false,2023,12,51,5
daangn/stackflow,@stackflow/plugin-basic-ui@1.5.0,@stackflow/plugin-basic-ui@1.5.0,2023-12-23T14:08:05.000Z,github-actions[bot],false,2023,12,51,6
daangn/stackflow,@stackflow/plugin-basic-ui@1.5.1,@stackflow/plugin-basic-ui@1.5.1,2024-01-16T09:26:15.000Z,github-actions[bot],false,2024,1,3,2
daangn/stackflow,@stackflow/plugin-history-sync@1.3.15,@stackflow/plugin-history-sync@1.3.15,2024-01-16T14:41:55.000Z,github-actions[bot],false,2024,1,3,2
daangn/stackflow,@stackflow/plugin-stack-depth-change@1.1.1,@stackflow/plugin-stack-depth-change@1.1.1,2024-01-20T12:49:49.000Z,github-actions[bot],false,2024,1,3,6
daangn/stackflow,@stackflow/plugin-history-sync@1.3.16,@stackflow/plugin-history-sync@1.3.16,2024-01-22T03:48:20.000Z,github-actions[bot],false,2024,1,4,1
daangn/stackflow,@stackflow/plugin-history-sync@1.3.17,@stackflow/plugin-history-sync@1.3.17,2024-01-22T20:16:04.000Z,github-actions[bot],false,2024,1,4,2
daangn/stackflow,@stackflow/core@1.0.10,@stackflow/core@1.0.10,2024-01-30T10:12:31.000Z,github-actions[bot],false,2024,1,5,2
daangn/stackflow,@stackflow/compat-await-push@1.1.7,@stackflow/compat-await-push@1.1.7,2024-01-30T10:12:34.000Z,github-actions[bot],false,2024,1,5,2
daangn/stackflow,@stackflow/link@1.3.16,@stackflow/link@1.3.16,2024-01-30T10:12:37.000Z,github-actions[bot],false,2024,1,5,2
daangn/stackflow,@stackflow/plugin-basic-ui@1.5.2,@stackflow/plugin-basic-ui@1.5.2,2024-01-30T10:12:40.000Z,github-actions[bot],false,2024,1,5,2
daangn/stackflow,@stackflow/plugin-devtools@0.1.8,@stackflow/plugin-devtools@0.1.8,2024-01-30T10:12:43.000Z,github-actions[bot],false,2024,1,5,2
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.9,@stackflow/plugin-google-analytics-4@1.1.9,2024-01-30T10:12:47.000Z,github-actions[bot],false,2024,1,5,2
daangn/stackflow,@stackflow/plugin-history-sync@1.3.18,@stackflow/plugin-history-sync@1.3.18,2024-01-30T10:12:49.000Z,github-actions[bot],false,2024,1,5,2
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.5,@stackflow/plugin-map-initial-activity@1.0.5,2024-01-30T10:12:52.000Z,github-actions[bot],false,2024,1,5,2
daangn/stackflow,@stackflow/plugin-preload@1.2.15,@stackflow/plugin-preload@1.2.15,2024-01-30T10:12:56.000Z,github-actions[bot],false,2024,1,5,2
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.7,@stackflow/plugin-renderer-basic@1.1.7,2024-01-30T10:12:58.000Z,github-actions[bot],false,2024,1,5,2
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.7,@stackflow/plugin-renderer-web@1.1.7,2024-01-30T10:13:01.000Z,github-actions[bot],false,2024,1,5,2
daangn/stackflow,@stackflow/react@1.1.7,@stackflow/react@1.1.7,2024-01-30T10:13:04.000Z,github-actions[bot],false,2024,1,5,2
daangn/stackflow,@stackflow/plugin-stack-depth-change@1.1.2,@stackflow/plugin-stack-depth-change@1.1.2,2024-01-30T10:13:07.000Z,github-actions[bot],false,2024,1,5,2
daangn/stackflow,@stackflow/compat-await-push@1.1.8,@stackflow/compat-await-push@1.1.8,2024-02-13T10:25:36.000Z,github-actions[bot],false,2024,2,7,2
daangn/stackflow,@stackflow/link@1.4.0,@stackflow/link@1.4.0,2024-02-13T10:25:39.000Z,github-actions[bot],false,2024,2,7,2
daangn/stackflow,@stackflow/plugin-basic-ui@1.5.3,@stackflow/plugin-basic-ui@1.5.3,2024-02-13T10:25:42.000Z,github-actions[bot],false,2024,2,7,2
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.10,@stackflow/plugin-google-analytics-4@1.1.10,2024-02-13T10:25:45.000Z,github-actions[bot],false,2024,2,7,2
daangn/stackflow,@stackflow/plugin-history-sync@1.4.0,@stackflow/plugin-history-sync@1.4.0,2024-02-13T10:25:48.000Z,github-actions[bot],false,2024,2,7,2
