Metric,Value,Repository/Author,Period
total_releases,488,,
total_weekday_releases,484,,
total_weekend_releases,4,,
releases_by_repo,159,daangn/stackflow,
weekday_releases_by_repo,157,daangn/stackflow,
releases_by_repo,329,daangn/seed-design,
weekday_releases_by_repo,327,daangn/seed-design,
weekday_releases_by_year,4,,2021
weekday_releases_by_year,19,,2022
weekday_releases_by_year,44,,2023
weekday_releases_by_year,122,,2024
weekday_releases_by_year,295,,2025
weekday_releases_by_month,25,,month_1
weekday_releases_by_month,86,,month_2
weekday_releases_by_month,53,,month_3
weekday_releases_by_month,86,,month_4
weekday_releases_by_month,93,,month_5
weekday_releases_by_month,10,,month_6
weekday_releases_by_month,47,,month_7
weekday_releases_by_month,23,,month_8
weekday_releases_by_month,16,,month_9
weekday_releases_by_month,6,,month_10
weekday_releases_by_month,14,,month_11
weekday_releases_by_month,25,,month_12
releases_by_day_of_week,81,,Monday
releases_by_day_of_week,115,,Tuesday
releases_by_day_of_week,86,,Wednesday
releases_by_day_of_week,105,,Thursday
releases_by_day_of_week,97,,Friday
releases_by_day_of_week,4,,Saturday
weekday_only_releases_by_day,81,,Monday
weekday_only_releases_by_day,115,,Tuesday
weekday_only_releases_by_day,86,,Wednesday
weekday_only_releases_by_day,105,,Thursday
weekday_only_releases_by_day,97,,Friday
weekday_releases_by_author,484,github-actions[bot],
weekday_prerelease_count,25,,
weekday_stable_release_count,459,,
prerelease_count,25,,
stable_release_count,463,,
